PNorder,p,e,u1
0,1.615631562979778,0.1,-0.612763468
0,2.515631562979778,0.1,-0.393539346
0,3.515631562979778,0.1,-0.281599474
0,6.515631562979777,0.1,-0.151942293
0,11.515631562979777,0.1,-0.0859701
0,21.515631562979777,0.1,-0.046013058
0,41.51563156297978,0.1,-0.02384644
0,81.51563156297978,0.1,-0.01214491
0,161.5156315629798,0.1,-0.006129438
0,1.739068657913204,0.25,-0.539081649
0,2.639068657913204,0.25,-0.355238958
0,3.639068657913204,0.25,-0.257620861
0,6.639068657913204,0.25,-0.141209565
0,11.639068657913203,0.25,-0.080547682
0,21.639068657913203,0.25,-0.043324415
0,41.63906865791321,0.25,-0.022514913
0,81.63906866,0.25,-0.011483473
0,161.6390686579132,0.25,-0.005799959
0,1.9323848163495112,0.45,-0.412702477
0,2.832384816349511,0.45,-0.281564848
0,3.832384816349511,0.45,-0.208094969
0,6.832384816349511,0.45,-0.116723519
0,11.832384816349512,0.45,-0.067399769
0,21.83238481634951,0.45,-0.036528304
0,41.83238481634951,0.45,-0.019064177
0,81.83238481634952,0.45,-0.00974553
0,161.8323848163495,0.45,-0.004927938
0,2.193855751666636,0.6,-0.291723829
0,3.093855751666636,0.6,-0.206861616
0,4.093855751666636,0.6,-0.156331839
0,7.093855751666636,0.6,-0.090218919
0,12.093855751666636,0.6,-0.052919434
0,22.093855751666638,0.6,-0.02896733
0,42.09385575166664,0.6,-0.015204119
0,82.09385575166664,0.6,-0.007795955
0,162.09385575166664,0.6,-0.00394833
1,1.615631562979778,0.1,-1.363721604
1,2.515631562979778,0.1,-0.70328578
1,3.515631562979778,0.1,-0.440196002
1,6.515631562979777,0.1,-0.198115214
1,11.515631562979777,0.1,-0.100751817
1,21.515631562979777,0.1,-0.050247461
1,41.51563156297978,0.1,-0.024983745
1,81.51563156297978,0.1,-0.012439908
1,161.5156315629798,0.1,-0.006204578
1,1.739068657913204,0.25,-1.120299698
1,2.639068657913204,0.25,-0.607628392
1,3.639068657913204,0.25,-0.390357877
1,6.639068657913204,0.25,-0.181089848
1,11.639068657913203,0.25,-0.09352354
1,21.639068657913203,0.25,-0.047078425
1,41.63906865791321,0.25,-0.023528755
1,81.63906866,0.25,-0.011747213
1,161.6390686579132,0.25,-0.005867238
1,1.9323848163495112,0.45,-0.753349146
1,2.832384816349511,0.45,-0.440122375
1,3.832384816349511,0.45,-0.294702001
1,6.832384816349511,0.45,-0.143972279
1,11.832384816349512,0.45,-0.076485226
1,21.83238481634951,0.45,-0.039196939
1,41.83238481634951,0.45,-0.019791063
1,81.83238481634952,0.45,-0.009935481
1,161.8323848163495,0.45,-0.004976507
1,2.193855751666636,0.6,-0.461929414
1,3.093855751666636,0.6,-0.292445072
1,4.093855751666636,0.6,-0.205211127
1,7.093855751666636,0.6,-0.106497826
1,12.093855751666636,0.6,-0.058520367
1,22.093855751666638,0.6,-0.030645542
1,42.09385575166664,0.6,-0.01566645
1,82.09385575166664,0.6,-0.007917509
1,162.09385575166664,0.6,-0.003979508
2,1.615631562979778,0.1,-1.878092189
2,2.515631562979778,0.1,-0.781463781
2,3.515631562979778,0.1,-0.449320739
2,6.515631562979777,0.1,-0.192358345
2,11.515631562979777,0.1,-0.098092681
2,21.515631562979777,0.1,-0.049472838
2,41.51563156297978,0.1,-0.024801884
2,81.51563156297978,0.1,-0.012401873
2,161.5156315629798,0.1,-0.006197124
2,1.739068657913204,0.25,-1.471948552
2,2.639068657913204,0.25,-0.66245291
2,3.639068657913204,0.25,-0.395094604
2,6.639068657913204,0.25,-0.175576022
2,11.639068657913203,0.25,-0.091042303
2,21.639068657913203,0.25,-0.046355359
2,41.63906865791321,0.25,-0.023358592
2,81.63906866,0.25,-0.011711568
2,161.6390686579132,0.25,-0.005860248
2,1.9323848163495112,0.45,-0.921764571
2,2.832384816349511,0.45,-0.464397468
2,3.832384816349511,0.45,-0.293443379
2,6.832384816349511,0.45,-0.139087733
2,11.832384816349512,0.45,-0.074415002
2,21.83238481634951,0.45,-0.038598958
2,41.83238481634951,0.45,-0.019650483
2,81.83238481634952,0.45,-0.00990604
2,161.8323848163495,0.45,-0.004970736
2,2.193855751666636,0.6,-0.519656476
2,3.093855751666636,0.6,-0.296863128
2,4.093855751666636,0.6,-0.200477036
2,7.093855751666636,0.6,-0.102497745
2,12.093855751666636,0.6,-0.056919829
2,22.093855751666638,0.6,-0.030187634
2,42.09385575166664,0.6,-0.015558934
2,82.09385575166664,0.6,-0.007895001
2,162.09385575166664,0.6,-0.003975099
3,1.615631562979778,0.1,-4.680586491
3,2.515631562979778,0.1,-1.118424956
3,3.515631562979778,0.1,-0.504036388
3,6.515631562979777,0.1,-0.19031256
3,11.515631562979777,0.1,-0.097032928
3,21.515631562979777,0.1,-0.04928259
3,41.51563156297978,0.1,-0.024777359
3,81.51563156297978,0.1,-0.012399182
3,161.5156315629798,0.1,-0.006196854
3,1.739068657913204,0.25,-3.628593611
3,2.639068657913204,0.25,-0.959042051
3,3.639068657913204,0.25,-0.448938727
3,6.639068657913204,0.25,-0.174423235
3,11.639068657913203,0.25,-0.090125751
3,21.639068657913203,0.25,-0.046179874
3,41.63906865791321,0.25,-0.023335331
3,81.63906866,0.25,-0.011708979
3,161.6390686579132,0.25,-0.005859985
3,1.9323848163495112,0.45,-2.377091957
3,2.832384816349511,0.45,-0.707192989
3,3.832384816349511,0.45,-0.34559345
3,6.832384816349511,0.45,-0.139451759
3,11.832384816349512,0.45,-0.073784085
3,21.83238481634951,0.45,-0.038458076
3,41.83238481634951,0.45,-0.01963069
3,81.83238481634952,0.45,-0.009903772
3,161.8323848163495,0.45,-0.004970502
3,2.193855751666636,0.6,-1.292072079
3,3.093855751666636,0.6,-0.452040534
3,4.093855751666636,0.6,-0.238639677
3,7.093855751666636,0.6,-0.103386153
