gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.11659485350874332,1.2254324705751077e-05,-0.32708925784878007,3.4377657785225614e-05,23,-3.397986476271771e-13
ORG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.11659456050494056,1.1027782153951498e-05,-0.3270884358708496,3.093677784142957e-05,23,-3.293657297790292e-13
SRG,paper-comp-0,0.9,3.605272465834475,0.3,1.0,0.597044290889259,0.11659440790049136,9.41923429660113e-06,-0.32708800776210784,2.6424239688658335e-05,25,-1.7164944755586717e-13
IRG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332069253425575,4.991746625622848e-07,-0.13127922537252243,7.022157813789488e-07,26,7.106854896555986e-16
ORG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332061404461021,4.827370661745368e-07,-0.13127911495692665,6.79092132570003e-07,26,7.375680335791472e-16
SRG,paper-comp-2,0.9,10.553556600050072,0.3,-1.0,0.8431230717949204,0.09332084383904309,5.407656807494097e-07,-0.13127943822108515,7.607240982568589e-07,25,8.399317322797058e-16
IRG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.00876752931485281,7.847723101737894e-09,-0.00900719482619642,8.062245175462223e-09,21,5.801149713915482e-22
ORG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.008767529333576026,7.868423248484162e-09,-0.009007194845431445,8.083511172755056e-09,21,5.786688510954503e-22
SRG,paper-comp-4,0.9,102.60527246583447,0.3,1.0,0.9866061879125744,0.0087675336423251,1.3098580143300353e-08,-0.00900719927196268,1.3456637447152325e-08,18,1.539392957195017e-21
IRG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.00825731733953408,2.6106613766004934e-08,-0.008469048910109857,2.67760314603724e-08,16,7.018762202742227e-21
ORG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.008257317341540501,2.6103648454698738e-08,-0.008469048912167725,2.6772990113473253e-08,16,7.018066256806654e-21
SRG,paper-comp-6,0.9,109.55355660005007,0.3,-1.0,0.9874205631568695,0.008257316944795501,4.47552692781302e-08,-0.008469048505249514,4.590287001407757e-08,14,2.1619041124620397e-20
IRG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.11074913417543139,1.7583722356116235e-05,-0.2838088361566866,4.506053988003759e-05,21,-6.040095183613813e-13
ORG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.1107464395077373,2.6130211928890424e-05,-0.2838019307257071,6.696201366521494e-05,18,-1.8061306727216161e-12
SRG,paper-comp-1,0.9,3.716598646980593,0.4,1.0,0.6246794416598349,0.11074747716379242,2.1117813096445745e-05,-0.2838045898522053,5.411709989156993e-05,20,-8.553704607432264e-13
IRG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.08650085625230987,8.538117420958202e-07,-0.1182867561863442,1.1675563195783877e-06,21,2.582803544435498e-15
ORG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.0865007815927647,9.185822992940542e-07,-0.11828665409214768,1.2561276868376173e-06,21,2.748175117019763e-15
SRG,paper-comp-3,0.9,10.81898714715605,0.4,-1.0,0.8551496890686007,0.08650075641957009,8.240601774206916e-07,-0.11828661966872504,1.12687214338221e-06,22,1.9775139430083764e-15
IRG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.008090452698939033,5.983091513578277e-08,-0.008294216830560495,6.133780169954192e-08,12,3.8192219971729994e-20
ORG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.008090452700854477,5.982833908461926e-08,-0.008294216832524182,6.133516076859383e-08,12,3.819093242020268e-20
SRG,paper-comp-5,0.9,102.7165986469806,0.4,1.0,0.987640110126244,0.008090464998357536,2.7038054967032675e-08,-0.008294229439749097,2.7719028701890957e-08,14,7.768668878600835e-21
IRG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.007608691785262706,2.271334168977478e-08,-0.007788208400725552,2.324923174040045e-08,16,5.3457537310009515e-21
ORG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.007608691885017415,2.2704825874056975e-08,-0.007788208502833837,2.3240515005725913e-08,16,5.323723344370581e-21
SRG,paper-comp-7,0.9,109.81898714715605,0.4,-1.0,0.9884079137280877,0.007608692086676169,1.840370912675674e-08,-0.007788208709250451,1.8837919325781644e-08,18,2.3295080524333345e-21
