gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
IRG,a50-pi0_ej0,0.5,4.476944085369139,0.1,1,0.6223700276029898,0.15321501061330797,8.960659668413082e-07,-0.39555235686347656,2.3133569202549346e-06,39,-3.0279008220736952e-15
IRG,a50-pi1_ej0,0.5,5.376944085369139,0.1,1,0.6960197726881888,0.13337246906328334,2.3932579316621724e-07,-0.2753106656674789,4.940220713521115e-07,39,-3.7029244693721667e-16
IRG,a50-pi2_ej0,0.5,6.376944085369139,0.1,1,0.747585200542909,0.11861311600696847,7.611379322532758e-08,-0.21223222366967862,1.3618898256746212e-07,39,-5.3500940063421314e-17
IRG,a50-pi3_ej0,0.5,9.37694408536914,0.1,1,0.832396868830729,0.08895441805450588,2.128137863884983e-08,-0.12838274198630162,3.0714177020753994e-08,39,2.6142608837631146e-18
IRG,a50-pi4_ej0,0.5,14.37694408536914,0.1,1,0.8926052707605104,0.06213088565037082,2.4136955193799542e-08,-0.07798097311208761,3.029448613636673e-08,39,5.047873824934546e-19
IRG,a50-pi5_ej0,0.5,24.37694408536914,0.1,1,0.9375731940944279,0.03842228928248425,1.2506674073904048e-08,-0.04370920157228551,1.4227594146618332e-08,39,3.0231219662663295e-20
IRG,a50-pi6_ej0,0.5,44.37694408536914,0.1,1,0.9660562181543362,0.02169078963733073,4.632364221315852e-09,-0.02324184293576614,4.9636128261458206e-09,39,1.010941038055484e-21
IRG,a50-pi7_ej0,0.5,84.37694408536913,0.1,1,0.9822612661500625,0.01157153756787768,1.4351245042380964e-09,-0.011993254020573751,1.4874265956027358e-09,39,2.4218350798146476e-23
IRG,a50-pi8_ej0,0.5,164.37694408536913,0.1,1,0.9909278775797855,0.0059820222668513405,4.0378253572619737e-10,-0.006092056637049787,4.112097827396308e-10,39,4.813495936919538e-25
IRG,a50-pi0_ej1,0.5,4.702059533347209,0.25,1,0.6375429324973232,0.149451886243338,3.5342147848496374e-06,-0.36769060164306816,8.695089725808774e-06,27,-4.845764360881906e-14
IRG,a50-pi1_ej1,0.5,5.60205953334721,0.25,1,0.7168627162700992,0.12622223011085915,6.82568148874932e-07,-0.24562007637934713,1.328232282962547e-06,29,-2.628223617128891e-15
IRG,a50-pi2_ej1,0.5,6.60205953334721,0.25,1,0.765304107426387,0.11154169029741172,2.7147210507995143e-07,-0.19044480617645262,4.635078802949126e-07,27,-7.047181246377274e-16
IRG,a50-pi3_ej1,0.5,9.602059533347209,0.25,1,0.8436264945148165,0.0833746115799271,6.006107675552207e-08,-0.11714760188454104,8.439033148319602e-08,29,1.8003671011457588e-17
IRG,a50-pi4_ej1,0.5,14.602059533347209,0.25,1,0.8993500720981211,0.058318505511064773,6.71597918086119e-08,-0.07210225349879908,8.303320346561968e-08,29,4.090839274141701e-18
IRG,a50-pi5_ej1,0.5,24.60205953334721,0.25,1,0.941258021701012,0.03616586706270019,3.26284936368491e-08,-0.04082079897141481,3.682812794673978e-08,29,2.35617431361089e-19
IRG,a50-pi6_ej1,0.5,44.60205953334721,0.25,1,0.967970489533037,0.020467181717357015,1.2056299555490055e-08,-0.021844082649143823,1.2867370191452472e-08,29,8.061233138386525e-21
IRG,a50-pi7_ej1,0.5,84.60205953334722,0.25,1,0.9832337077579247,0.010936477480916418,4.283712307687287e-09,-0.011312639438908251,4.431051303442101e-09,28,2.5526938743032577e-22
IRG,a50-pi8_ej1,0.5,164.60205953334722,0.25,1,0.991417359670671,0.005658990501436563,1.3497932057986922e-09,-0.005757393680329245,1.3732645196778402e-09,28,5.5840445913567214e-24
IRG,a50-pi0_ej2,0.5,5.015562783072288,0.45,1,0.674954142951324,0.13803189451659834,2.1023083380906863e-05,-0.3029918270490955,4.614746806232146e-05,17,-1.637565165984757e-12
IRG,a50-pi1_ej2,0.5,5.915562783072288,0.45,1,0.7583093549955384,0.1100149265490852,5.034860495739671e-06,-0.19131930106678033,8.755775431835404e-06,17,-1.1824424771868922e-13
IRG,a50-pi2_ej2,0.5,6.915562783072288,0.45,1,0.8015031787920156,0.09568306756538394,2.6095732622844664e-06,-0.1489445415260248,4.062178429469053e-06,15,-4.2200570244110544e-14
IRG,a50-pi3_ej2,0.5,9.91556278307229,0.45,1,0.8682619411973845,0.07063959111215991,3.032987200410825e-07,-0.09370152237962887,4.0231761475683484e-07,16,9.082613190583705e-16
