gauge,name,a,p,e,x,z0,z1,z1_err,u1,u1_err,lmax_cut,z1_lmax
ORG,paper-15,0.5,8.0,0.1,0.8,0.800245917211203,0.08797585582051849,7.83263768694262e-06,-0.1373778028229935,1.2230975711517774e-05,13,-1.683746626302115e-13
IRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543869612719765,3.1102931124760905e-07,-0.08540542788509935,4.059309397038769e-07,22,-1.3240870933987215e-16
ORG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543869646284887,3.108879346923408e-07,-0.08540542832316486,4.057464261681528e-07,22,-1.3244272654553532e-16
SRG,test-5,0.5,12.5,0.1,0.8,0.875335581111715,0.06543864486490349,3.7502014822500767e-07,-0.08540536098159383,4.894467359562557e-07,20,-2.488087879183682e-16
ORG,paper-14,0.5,8.0,0.4,0.8,0.8235630949631697,0.07717648575719999,8.88172507828e-05,-0.11378663256328309,0.00013094941783042507,13,-1.189010014920132e-13
IRG,paper-16,0.5,8.0,0.6,0.8,0.8587290143728139,0.06161783755987598,0.0003704848287287033,-0.08355918186990724,0.0005024098606787503,14,8.431198176097383e-13
ORG,paper-26,0.5,8.0,0.6,0.8,0.8587290143728139,0.06161783755987598,0.0003704848287287033,-0.08355918186990724,0.0005024098606787503,14,8.431198176097383e-13
ORG,paper-17,0.9,100.5,0.0,0.99,0.9849879355191927,0.009820771444783601,1.1686266949659547e-08,-0.010122406681774955,1.2045199027523664e-08,19,1.9366198945236433e-21
ORG,paper-18,0.9,100.5,0.0,0.97,0.9849874438411846,0.009813796986114653,6.269860946871384e-09,-0.01011522810800459,6.4624399478414844e-09,22,5.612396222118313e-22
ORG,paper-19,0.9,100.5,0.0,0.95,0.9849869511564799,0.009806953714123469,4.785889343951652e-09,-0.01010818475677396,4.93289303940218e-09,23,3.5409635138361123e-22
ORG,paper-20,0.9,100.5,0.0,0.9,0.9849857150386062,0.00979042155448784,3.3650576689841475e-09,-0.010091170122209378,3.4684277096524627e-09,23,2.443990792905716e-22
ORG,paper-3,0.9,6.5,0.0,0.99,0.7628104038294248,0.10722164814699012,9.128203450355898e-07,-0.18426772045955725,1.5687440649879283e-06,21,-4.406658069084364e-15
ORG,paper-4,0.9,10.5,0.0,0.99,0.8532650175784481,0.07863000791407734,4.22277545801679e-08,-0.10799917502810087,5.8000282321359794e-08,21,3.0992965353507906e-17
ORG,paper-5,0.9,30.5,0.0,0.99,0.9500764449339757,0.03114562702845665,6.095494606534182e-08,-0.0345048367411412,6.752923807339088e-08,21,6.953238242571571e-19
ORG,paper-6,0.9,30.5,0.0,0.97,0.9500673820015283,0.0310738497358933,3.837816486446546e-08,-0.034425974699763086,4.251825067948708e-08,23,2.998164139014722e-19
ORG,paper-7,0.9,30.5,0.0,0.95,0.9500582801163358,0.031003234367665517,3.2638588280498256e-08,-0.034348399752249355,3.616020394236211e-08,23,2.562415453521871e-19
ORG,paper-8,0.9,30.5,0.0,0.9,0.9500353546067444,0.030831865973567123,1.8243173716560765e-08,-0.034160189764792584,2.0212538436825967e-08,23,1.4475098000364946e-19
ORG,paper-9,0.9,50.5,0.0,0.99,0.9699907611082854,0.01924560756580328,2.7559162786176334e-08,-0.020454856186255626,2.9290772425729656e-08,21,4.417158234702082e-20
ORG,paper-1,0.9,6.5,0.25,0.031410759078128396,0.7466039821284756,0.04316224648462632,1.535867572663966e-05,-0.07743252770133231,2.7553271215445212e-05,21,-1.6185265309087456e-13
ORG,paper-21,0.9,6.5,0.25,0.8,0.7704782347117044,0.08792409184952311,1.2657424940918354e-05,-0.14811094115989584,2.1321836611842406e-05,15,-1.6799091752635897e-13
ORG,paper-22,0.9,6.5,0.25,0.3,0.7579186066630457,0.05531009663826798,2.407685646619953e-05,-0.09628514290055747,4.1913569245877706e-05,19,-2.3532892675819214e-13
ORG,paper-2,0.9,6.5,0.7,0.5,0.8533660336051628,0.037172276948035994,0.008995232083265914,-0.05104444177766381,0.012352124702845252,12,-4.4585338335803096e-11
ORG,paper-12,0.999,32.50916332614269,0.1,0.7,0.9535640050538956,0.028223270834395072,1.8966610658942933e-07,-0.031038994591867795,2.0858834155804175e-07,15,-5.1980981404546584e-18
ORG,paper-0,0.999,2.50916332614269,0.25,0.7,0.3970072276035527,-0.12628688047604578,0.0001375104463798868,0.8012377615317045,0.0008724466217656296,21,-5.965695497372859e-11
ORG,paper-10,0.999,12.50916332614269,0.25,0.7,0.8831419281071734,0.05940342570869921,6.173616125516385e-06,-0.07616412956113021,7.915504751364094e-06,15,-7.718158550366146e-15
ORG,paper-11,0.999,32.50916332614269,0.25,0.7,0.9559299590196991,0.026794867383776354,1.8673540633294003e-06,-0.029322396805743205,2.043499452246389e-06,12,-1.6754734674913175e-17
ORG,paper-13,0.999,2.60916332614269,0.25,0.7,0.42476174610118544,-0.0941147140997082,0.00031465093473766106,0.521635010812235,0.0017439668739796825,18,-1.723864724338249e-10
ORG,paper-23,0.999,3.40916332614269,0.25,0.7,0.5608314854066639,0.020166550706158227,3.8177298404302215e-05,-0.06411606319826874,0.00012137812325446072,21,-2.994356870024013e-12
